id,gyakorlat_nev,testresz_id,tipus,leiras,ismetlesszam,video_link
4,Váll nyújtás falnál,6,nyujtas,Tedd a tenyered a falra nyújtott kézzel váll magasságban és lassan kezdj elfordulni a faltól amíg még nem kellemetlen.,10,vallnyujt1.MOV
5,Váll nyújtás asztalnál,6,nyujtas,"Fogj meg egy asztal/konyhapult szélét vagy bármilyen stabil felületet ami nincs váll magasság felett, állj ettől egy-két lépésnyire és dőlj előre. Ha nehezíteni szeretnéd akkor fordulj el a tested fele törzzsel.",10,vallnyujt2.MOV
6,Váll nyújtás asztalnál,10,nyujtas,"Fogj meg egy asztal/konyhapult szélét vagy bármilyen stabil felületet ami nincs váll magasság felett, állj ettől egy-két lépésnyire és dőlj előre. ",10,vallnyujt2.MOV
7,Lapocka fogás,6,nyujtas,Álló vagy ülő helyzetben próbáld megfogni az azonos oldali lapockád. Ha megy akkor a másik kezeddel óvatosan rásegíthetsz.,10,vallnyujt3.MOV
8,Kar emelgetés,6,erosites,"Fogj meg egy-egy kis súlyt a kezedbe és a tested előtt 45 fokos szögben emeld a kezeid, majd vissza engedésnél zárd a lapocáid",20,vallerosit1.MOV
9,Kar emelgetés,6,erosites,"Fogj meg egy-egy kis súlyt a kezedbe, emeld a karjaid oldalra, majd előre és aztán engedd le ",20,vallerosit2.MOV
10,Előrenyújtózás álló helyzetben,6,erosites,"Emeld a karjaid előre, zárd össze a lapockáid, majd nyújtózz előre",20,vallerosit3.MOV
11,Tarkó és derék fogás,6,erosites,Tedd tarkódra a kezed majd onnan tedd a kézfejed a derekadra,20,vallerosit4.MOV
12,Alkartámasz,6,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, fáradásig",30,alkartamasz1.MOV
13,Alkartámasz,5,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, fáradásig",30,alkartamasz1.MOV
14,Alkartámasz,9,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, fáradásig",30,alkartamasz1.MOV
15,Alkartámasz,8,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, fáradásig",30,alkartamasz1.MOV
16,Alkartámasz,10,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, fáradásig",30,alkartamasz1.MOV
17,Alkartámasz billegés,6,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked és billegj előre és hátra",12,alkartamasz2.MOV
18,Alkartámasz billegés,5,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked és billegj előre és hátra",12,alkartamasz2.MOV
19,Alkartámasz billegés,9,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked és billegj előre és hátra",12,alkartamasz2.MOV
20,Alkartámasz billegés,8,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked és billegj előre és hátra",12,alkartamasz2.MOV
21,Alkartámasz billegés,10,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked és billegj előre és hátra",12,alkartamasz2.MOV
22,Alkartámasz kifordulással,6,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, felváltva emeld fel a kezeid a plafon felé és közben törzzsel is fordulj kifele",12,alkartamasz3.MOV
23,Alkartámasz kifordulással,5,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, felváltva emeld fel a kezeid a plafon felé és közben törzzsel is fordulj kifele",12,alkartamasz3.MOV
24,Alkartámasz kifordulással,9,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, felváltva emeld fel a kezeid a plafon felé és közben törzzsel is fordulj kifele",12,alkartamasz3.MOV
26,Alkartámasz kifordulással,10,erosites,"Alkartámasz párhuzamos karokkal és kézfejekkel, zárd össze a lapockáid, billentsd előre a medencéd, szorítsd a feneked, felváltva emeld fel a kezeid a plafon felé és közben törzzsel is fordulj kifele",12,alkartamasz3.MOV
27,Tenyértámasz vállérintés,6,erosites,"Tenyértámaszban ellentétes váll érintés. Billentsd előre a medencéd, feszítsd a hasad és a feneked.",20,vallerosit5.MOV
28,Tenyértámasz vállérintés,5,erosites,"Tenyértámaszban ellentétes váll érintés. Billentsd előre a medencéd, feszítsd a hasad és a feneked.",20,vallerosit5.MOV
29,Kobra,9,nyujtas,"Hason fekvésben a tenyereket támaszd a vállad mellé. Kilégzésre lassan told fel a mellkasod, nyújtsd a karod, miközben a medencéd a talajon marad. A vállakat húzd lefelé, távolítsd a füledtől. Ha a derekad fáj, csak alkarig told fel magad.",10,hasnyujt1.MOV
30,Sarokhúzás és törzsemelés,5,nyujtas,"Hason fekvésben húzd az egyik sarkad a fenekedhez, fogd meg a bokád, majd próbáld megemelni a combod és a mellkasod a talajról. Ne ránts, a mozdulat legyen kontrollált. A derék túlzott homorítását kerüld.",10,hasnyujt2.MOV
31,Sarokhúzás és törzsemelés,9,nyujtas,"Hason fekvésben húzd az egyik sarkad a fenekedhez, fogd meg a bokád, majd próbáld megemelni a combod és a mellkasod a talajról. Ne ránts, a mozdulat legyen kontrollált. A derék túlzott homorítását kerüld.",10,hasnyujt2.MOV
32,Sarokhúzás és törzsemelés,3,nyujtas,"Hason fekvésben húzd az egyik sarkad a fenekedhez, fogd meg a bokád, majd próbáld megemelni a combod és a mellkasod a talajról. Ne ránts, a mozdulat legyen kontrollált. A derék túlzott homorítását kerüld.",10,hasnyujt2.MOV
33,Skorpió nyúltás,5,nyujtas,"Hason fekvésben tárd szét a karokat (T-alak). Az egyik térded hajlítsd be, és emeld át a másik lábad felett a talaj felé, megcsavarva a törzsed. A lapockák maradjanak a talajon, a nyújtást a mellkasban és a törzs oldalában kell érezni.",10,hasnyujt3.MOV
34,Skorpió nyúltás,9,nyujtas,"Hason fekvésben tárd szét a karokat (T-alak). Az egyik térded hajlítsd be, és emeld át a másik lábad felett a talaj felé, megcsavarva a törzsed. A lapockák maradjanak a talajon, a nyújtást a mellkasban és a törzs oldalában kell érezni.",10,hasnyujt3.MOV
35,Térdhúzás háton fekve,5,erosites,"Feküdj a hátadon, talpak a talajon. Kilégzésre húzd a térdeidet a mellkasod felé, tartsd meg egy pillanatra, majd belégzésre lassan, kontrolláltan engedd vissza a talajra. A derekadat végig szorítsd a talajhoz (billentsd a medencéd).",10,haserosit1.MOV
37,Döglött bogár,5,erosites,"Háton fekvés, a karok a plafon felé nyújtva, a lábak 90 fokban megemelve. Kilégzésre lassan engedd le az ellentétes karod és lábad a talaj felé, majd húzd vissza. A derék ne emelkedjen el a talajról. Ha elemelkedik, ne engedd annyira le a lábad.",20,haserosit2.MOV
38,Döglött bogár,9,erosites,"Háton fekvés, a karok a plafon felé nyújtva, a lábak 90 fokban megemelve. Kilégzésre lassan engedd le az ellentétes karod és lábad a talaj felé, majd húzd vissza. A derék ne emelkedjen el a talajról. Ha elemelkedik, ne engedd annyira le a lábad.",20,haserosit2.MOV
39,Plank felállás,5,erosites,"Alkartámaszból indulva nyújtsd ki az egyik, majd a másik karod tenyértámaszba, majd ereszkedj vissza alkarra. A csípőd a lehető legkevesebbet billegjen oldalra.",10,haserosit3.MOV
40,Plank felállás,9,erosites,"Alkartámaszból indulva nyújtsd ki az egyik, majd a másik karod tenyértámaszba, majd ereszkedj vissza alkarra. A csípőd a lehető legkevesebbet billegjen oldalra.",10,haserosit3.MOV
41,Plank felállás,6,erosites,"Alkartámaszból indulva nyújtsd ki az egyik, majd a másik karod tenyértámaszba, majd ereszkedj vissza alkarra. A csípőd a lehető legkevesebbet billegjen oldalra.",10,haserosit3.MOV
42,Hegymászó,5,erosites,"Fekvőtámasz helyzetből húzd a térded az azonos oldali könyököd felé. A feneked ne emelkedjen ki, a hátad legyen egyenes.",20,haserosit4.MOV
43,Hegymászó,9,erosites,"Fekvőtámasz helyzetből húzd a térded az azonos oldali könyököd felé. A feneked ne emelkedjen ki, a hátad legyen egyenes.",20,haserosit4.MOV
44,Plank terpesz-zár,6,erosites,"Alkartámaszban lépj ki az egyik lábaddal kifele majd a másikkal is majd ugyan ilyen sorrendben zárd a lábaid. A medence maradjon stabil, ne rugózzon fel-le.",20,haserosit5.MOV
45,Plank terpesz-zár,9,erosites,"Alkartámaszban lépj ki az egyik lábaddal kifele majd a másikkal is majd ugyan ilyen sorrendben zárd a lábaid. A medence maradjon stabil, ne rugózzon fel-le.",20,haserosit5.MOV
46,Oldalsó súlypontáthelyezés,4,nyujtas,"Állj széles terpeszbe, a lábfejek legyenek párhuzamosak. Told a testsúlyod az egyik oldalra, hajlítva azt a térded, mintha oldalra guggolnál, a másik láb maradjon nyújtva. Ezután lassan nyújtsd ki a lábad és ismételd meg a másik lábaddal is ezt. A hátad legyen egyenes, a feneked told hátra. A hajlított térd ne essen befelé.",10,csiponyujt1.MOV
47,Hatos nyújtás,4,nyujtas,"Háton fekve egyik talp a talajon, a másik lábad bokáját tedd a hajlított térdedre. Fogd át a talajon lévő combod, és húzd a mellkasod felé. (Végezhető ülve és állva is). A nyújtást a fenékben és a csípő külső részén érezd.",10,csiponyujt2.MOV
48,Hatos nyújtás,8,nyujtas,"Háton fekve egyik talp a talajon, a másik lábad bokáját tedd a hajlított térdedre. Fogd át a talajon lévő combod, és húzd a mellkasod felé. (Végezhető ülve és állva is). A nyújtást a fenékben és a csípő külső részén érezd.",10,csiponyujt2.MOV
49,Béka nyújtás,4,nyujtas,"Négykézláb helyzetből csúsztasd szét a térdeidet a talajon, a lábfejek kifelé néznek. Told hátra a medencéd a sarkad felé. (Fontos: Csípőkopás esetén ezt a gyakorlatot hagyd ki!)",10,csiponyujt3.MOV
50,Labdaszorítás,4,erosites,"Háton fekve, talpak a talajon. Tegyél a térdeid közé egy labdát, egy-két párnát vagy bármit amit össze tudsz szorítani a térdeddel és a combjaid párhuzamosak maradnak közben, és erősen szorítsd össze 3-5 másodpercig. A belső combra koncentrálj, a derék maradjon a talajon.",20,csipoerosit1.MOV
51,Nyújtott lábemelés,4,erosites,"Egyik láb talpon, a másik nyújtva a talajon. Feszítsd meg a nyújtott láb combizmát, és emeld meg a másik térd vonaláig, majd engedd vissza. A lábfej pipáljon, a mozdulat legyen lassú.",10,csipoerosit2.MOV
54,Fél-térdelő nyújtás,2,nyujtas,"Egyik térdeden támaszkodva, a másik talpad elöl. Told előre a medencéd. A kezek a levegőben vagy a csípőn vannak (ne a combon támaszkodj). Húzd ki magad, a derekad ne homorítsd túl.",10,combnyujt1.MOV
55,Fél-térdelő nyújtás,3,nyujtas,"Egyik térdeden támaszkodva, a másik talpad elöl. Told előre a medencéd. A kezek a levegőben vagy a csípőn vannak (ne a combon támaszkodj). Húzd ki magad, a derekad ne homorítsd túl.",10,combnyujt1.MOV
56,Fél-térdelő nyújtás,4,nyujtas,"Egyik térdeden támaszkodva, a másik talpad elöl. Told előre a medencéd. A kezek a levegőben vagy a csípőn vannak (ne a combon támaszkodj). Húzd ki magad, a derekad ne homorítsd túl.",10,combnyujt1.MOV
57,Álló combnyújtás,3,nyujtas,"Álló helyzetben fogd meg az egyik sarkad hátul. Húzd a térded a mellkasod vonala mögé, miközben a sarkad a fenekedhez közelít. A két térd maradjon egymás mellett, ne engedd előre a hajlított térdet! Tarts egyensúlyt.",10,combnyujt2.MOV
58,Álló combnyújtás,7,nyujtas,"Álló helyzetben fogd meg az egyik sarkad hátul. Húzd a térded a mellkasod vonala mögé, miközben a sarkad a fenekedhez közelít. A két térd maradjon egymás mellett, ne engedd előre a hajlított térdet! Tarts egyensúlyt.",10,combnyujt2.MOV
59,Vádli és térdnyújtás a falnál,2,nyujtas,"Harántterpeszben támaszkodj a falnak. A hátul lévő láb nyújtva, sarka a talajon. Az elöl lévő térded hajlítva érintsd a falhoz. A hátsó sarok egy pillanatra sem emelkedhet fel.",10,combnyujt3.MOV
60,Medvetámasz,2,erosites,"Négykézláb helyzetből emeld el a térdeidet 2-3 centire a talajról, majd engedd vissza. A hát maradjon asztal-egyenes, a hasizom feszes.",10,comberosit1.MOV
61,Medvetámasz,3,erosites,"Négykézláb helyzetből emeld el a térdeidet 2-3 centire a talajról, majd engedd vissza. A hát maradjon asztal-egyenes, a hasizom feszes.",10,comberosit1.MOV
62,Medvetámasz,5,erosites,"Négykézláb helyzetből emeld el a térdeidet 2-3 centire a talajról, majd engedd vissza. A hát maradjon asztal-egyenes, a hasizom feszes.",10,comberosit1.MOV
63,Guggolás és kitörés,2,erosites,"Guggolásnál a testsúly a sarkakon és a talp külső élén legyen, a térdek picit kifelé mutassanak, kövessék a lábfej vonalát. Kitörésnél az elöl lévő térd ne menjen túlságosan a lábujjak elé, a törzs maradjon egyenes.",12,comberosit2.MOV
64,Guggolás és kitörés,3,erosites,"Guggolásnál a testsúly a sarkakon és a talp külső élén legyen, a térdek picit kifelé mutassanak, kövessék a lábfej vonalát. Kitörésnél az elöl lévő térd ne menjen túlságosan a lábujjak elé, a törzs maradjon egyenes.",12,comberosit2.MOV
65,Egylábas csípőemelés,2,erosites,"Háton fekve húzd az egyik térded a mellkasodhoz és öleld át. A másik talpad a talajon. Ebből a helyzetből emeld fel a csípőd a plafon felé. A támasztó láb sarkából told magad, a fenék izmait feszítsd meg a csúcsponton.",10,comberosit3.MOV
66,Egylábas csípőemelés,3,erosites,"Háton fekve húzd az egyik térded a mellkasodhoz és öleld át. A másik talpad a talajon. Ebből a helyzetből emeld fel a csípőd a plafon felé. A támasztó láb sarkából told magad, a fenék izmait feszítsd meg a csúcsponton.",10,comberosit3.MOV
67,Egylábas csípőemelés,4,erosites,"Háton fekve húzd az egyik térded a mellkasodhoz és öleld át. A másik talpad a talajon. Ebből a helyzetből emeld fel a csípőd a plafon felé. A támasztó láb sarkából told magad, a fenék izmait feszítsd meg a csúcsponton.",10,comberosit3.MOV
68,Egylábas csípőemelés,7,erosites,"Háton fekve húzd az egyik térded a mellkasodhoz és öleld át. A másik talpad a talajon. Ebből a helyzetből emeld fel a csípőd a plafon felé. A támasztó láb sarkából told magad, a fenék izmait feszítsd meg a csúcsponton.",10,comberosit3.MOV
69,Lépcsős excentrikus vádli,1,erosites,"Állj egy lépcsőfok szélére (vagy stabil emelvényre). Emelkedj fel lábujjhegyre páros lábbal, majd nagyon lassan engedd le a sarkad a vízszintes alá. A térdek végig nyújtva vannak, a mozdulat lefelé tartó része legyen kontrollált.",12,bokaerosit1.MOV
70,Harántterpesz guggolás,1,erosites,"Lépj előre az egyik lábaddal. A hátul lévő lábad sarka emelkedjen el a talajról, és így végezz guggolásokat (osztott guggolás). A mozgás függőleges irányú legyen, az elöl lévő térd stabil maradjon.",10,bokaerosit2.MOV
71,Harántterpesz guggolás,2,erosites,"Lépj előre az egyik lábaddal. A hátul lévő lábad sarka emelkedjen el a talajról, és így végezz guggolásokat (osztott guggolás). A mozgás függőleges irányú legyen, az elöl lévő térd stabil maradjon.",10,bokaerosit2.MOV
72,Harántterpesz guggolás,3,erosites,"Lépj előre az egyik lábaddal. A hátul lévő lábad sarka emelkedjen el a talajról, és így végezz guggolásokat (osztott guggolás). A mozgás függőleges irányú legyen, az elöl lévő térd stabil maradjon.",10,bokaerosit2.MOV
73,Érkezés gyakorlat,1,erosites,"Lábujjhegyről indulva ""ess bele"" egy puha, kontrollált guggolásba. Az érkezés legyen hangtalan, a térdek rugalmasan tompítsanak, ne csapódjanak össze.",8,bokaerosit3.MOV
74,Érkezés gyakorlat,2,erosites,"Lábujjhegyről indulva ""ess bele"" egy puha, kontrollált guggolásba. Az érkezés legyen hangtalan, a térdek rugalmasan tompítsanak, ne csapódjanak össze.",8,bokaerosit3.MOV
75,Toka-húzás és nyújtás,6,nyujtas,"Ülő helyzetben húzd hátra az állad (mintha tokát csinálnál). Kilégzésre óvatosan hajtsd a fejed oldalra, az azonos oldali kezeddel finoman segíthetsz. Az ellentétes válladdal nyújtózz lefelé. Ne húzd túl erősen a fejed! A vállad lazítsd el, mielőtt elengeded a nyújtást.",10,nyaknyujt1.MOV
76,Toka-húzás és nyújtás,11,nyujtas,"Ülő helyzetben húzd hátra az állad (mintha tokát csinálnál). Kilégzésre óvatosan hajtsd a fejed oldalra, az azonos oldali kezeddel finoman segíthetsz. Az ellentétes válladdal nyújtózz lefelé. Ne húzd túl erősen a fejed! A vállad lazítsd el, mielőtt elengeded a nyújtást.",10,nyaknyujt1.MOV
77,Cérnafűzés,10,nyujtas,"Négykézláb helyzetből az egyik karoddal nyúlj át a tested alatt, a vállad és a fejed tedd le a talajra, majd emeld a karod a plafon felé, kinyitva a mellkast. A medencéd maradjon középen, a csavarodás a hát felső szakaszából induljon.",10,nyaknyujt2.MOV
78,ATYWI,6,erosites,"Hason fekve, a fejed a talaj felett tartva, a karjaiddal formázz A, T, Y, W, majd I betűket a levegőben, megemelve a karokat és a lapockákat. A nyak egyenes (lefelé nézz), a lapockákat zárd össze a hátadon.",10,nyakerosit1.MOV
79,ATYWI,9,erosites,"Hason fekve, a fejed a talaj felett tartva, a karjaiddal formázz A, T, Y, W, majd I betűket a levegőben, megemelve a karokat és a lapockákat. A nyak egyenes (lefelé nézz), a lapockákat zárd össze a hátadon.",10,nyakerosit1.MOV
80,ATYWI,10,erosites,"Hason fekve, a fejed a talaj felett tartva, a karjaiddal formázz A, T, Y, W, majd I betűket a levegőben, megemelve a karokat és a lapockákat. A nyak egyenes (lefelé nézz), a lapockákat zárd össze a hátadon.",10,nyakerosit1.MOV
81,Fél-térdelő csavarás,9,nyujtas,"Fél-térdelő helyzetben nyújtsd előre a karjaidat, és lassan csavarodj jobbra, majd balra. Utána próbáld meg, hogy az a karod van a füled mellett nyújtva, amelyik térdeden támaszkodsz, és hajolj a másik oldalra. A csípő maradjon stabilan előre nézve, csak a törzs forduljon.",12,dereknyujt1.MOV
82,Medencebillentés ülve,9,nyujtas,"Ülj egyenesen, és csak a medencédet billentsd előre (homorít), majd hátra (domborít a derék). A vállak és a mellkas mozdulatlanok maradnak, izoláld az alsó háti szakaszt.",10,dereknyujt2.MOV
83,Hátrahajlás hengeren,9,nyujtas,"Feküdj a hátadon felhúzott térdekkel. Egy hengert (vagy összecsavart törölközőt) tegyél a lapockáid alá. Kezek a tarkón, és óvatosan hajolj hátra a henger felett. Ne a derekaddal homoríts, a nyújtás a hát felső/középső szakaszára koncentrálódjon.",12,dereknyujt3.MOV
84,Bolgár kitörés,7,erosites,"Egyik lábad tedd fel hátul egy padra/lépcsőre. Az elöl lévő lábaddal végezz guggolást úgy, hogy a térded kb. 90 fokig hajoljon. A törzs enyhén dőljön előre, hogy a farizom kapja a terhelést. Az elöl lévő térd ne essen befelé.",12,farerosit1.MOV
85,Bolgár kitörés,8,erosites,"Egyik lábad tedd fel hátul egy padra/lépcsőre. Az elöl lévő lábaddal végezz guggolást úgy, hogy a térded kb. 90 fokig hajoljon. A törzs enyhén dőljön előre, hogy a farizom kapja a terhelést. Az elöl lévő térd ne essen befelé.",12,farerosit1.MOV
86,Nyújtott térdes híd,7,erosites,"Háton fekve, a sarkaidat tedd egy magasabb pontra (pl. szék, henger). Nyújtott térdekkel emeld fel a medencédet. A lábfejek maradjanak párhuzamosak, a mozdulatot a combhajlító és a farizom végezze, ne a derékból told fel magad.",12,farerosit2.MOV
87,Nyújtott térdes híd,8,erosites,"Háton fekve, a sarkaidat tedd egy magasabb pontra (pl. szék, henger). Nyújtott térdekkel emeld fel a medencédet. A lábfejek maradjanak párhuzamosak, a mozdulatot a combhajlító és a farizom végezze, ne a derékból told fel magad.",12,farerosit2.MOV
88,Mérleg,7,erosites,"Állj egy lábon. Enyhén hajlított térddel dőlj előre egyenes háttal, miközben a másik lábad nyújtva emeled hátrafelé. A csípőd ne forduljon ki oldalra (a hátul lévő láb lábujjai a talaj felé nézzenek), a hát végig asztal-egyenes.",10,farerosit3.MOV
89,Mérleg,8,erosites,"Állj egy lábon. Enyhén hajlított térddel dőlj előre egyenes háttal, miközben a másik lábad nyújtva emeled hátrafelé. A csípőd ne forduljon ki oldalra (a hátul lévő láb lábujjai a talaj felé nézzenek), a hát végig asztal-egyenes.",10,farerosit3.MOV
